"recordKey","route","project","pageKind","primaryDiscipline","disciplines","pillars","aiAutomation","mappingRationale"
"caseStudy:/portfolio/case-studies/excel-sign-company.html","/portfolio/case-studies/excel-sign-company.html","Excel Sign Company","caseStudyOverview","B2","B2","Branding","false","Audited master-project mapping identifies the website rebuild as B2."
"caseStudy:/portfolio/case-studies/four-cs-construction.html","/portfolio/case-studies/four-cs-construction.html","4 C's Trucking & Excavation","caseStudyOverview","B4","B4","Branding","false","Audited master-project mapping identifies the project evidence as B4 visual content."
"caseStudy:/portfolio/case-studies/fresno-financial-advisors.html","/portfolio/case-studies/fresno-financial-advisors.html","Fresno Financial Advisors","caseStudyOverview","B4","B4;M2","Branding;Marketing","false","Audited master-project mapping combines brand video with positioning, content, and authority work."
"caseStudy:/portfolio/case-studies/highlands-energy-video.html","/portfolio/case-studies/highlands-energy-video.html","Highlands Energy","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/highlands-energy.html","/portfolio/case-studies/highlands-energy.html","Highlands Energy","caseStudyOverview","B4","B4;M2;S1;S2;S4","Branding;Marketing;Sales","false","Audited master-project mapping spans visual authority, lead generation, CRM, and conversion advertising."
"caseStudy:/portfolio/case-studies/hope-now-for-youth-branding.html","/portfolio/case-studies/hope-now-for-youth-branding.html","Hope Now for Youth","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/hope-now-for-youth-video.html","/portfolio/case-studies/hope-now-for-youth-video.html","Hope Now for Youth","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/hope-now-for-youth.html","/portfolio/case-studies/hope-now-for-youth.html","Hope Now for Youth","caseStudyOverview","B4","B4;M2","Branding;Marketing","false","Audited master-project mapping combines visual content with positioning and authority work."
"caseStudy:/portfolio/case-studies/infinite-heating-cooling-branding.html","/portfolio/case-studies/infinite-heating-cooling-branding.html","Infinite Heating & Cooling","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/infinite-heating-cooling-website.html","/portfolio/case-studies/infinite-heating-cooling-website.html","Infinite Heating & Cooling","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/infinite-heating-cooling.html","/portfolio/case-studies/infinite-heating-cooling.html","Infinite Heating & Cooling","caseStudyOverview","B1","B1;B2;S4","Branding;Sales","false","Audited master-project mapping combines identity, website, and conversion-advertising work."
"caseStudy:/portfolio/case-studies/infinite-roofing-solutions-branding.html","/portfolio/case-studies/infinite-roofing-solutions-branding.html","Infinite Roofing Solutions","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/infinite-roofing-solutions-marketing.html","/portfolio/case-studies/infinite-roofing-solutions-marketing.html","Infinite Roofing Solutions","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/infinite-roofing-solutions-video.html","/portfolio/case-studies/infinite-roofing-solutions-video.html","Infinite Roofing Solutions","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/infinite-roofing-solutions.html","/portfolio/case-studies/infinite-roofing-solutions.html","Infinite Roofing Solutions","caseStudyOverview","B1","B1;B2;B4;M2;S1;S2;S4","Branding;Marketing;Sales","false","Audited master-project mapping spans identity, web, visual authority, lead generation, CRM, and conversion advertising."
"caseStudy:/portfolio/case-studies/ivory-pools-branding.html","/portfolio/case-studies/ivory-pools-branding.html","Ivory Pool Services","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/ivory-pools-video.html","/portfolio/case-studies/ivory-pools-video.html","Ivory Pool Services","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/ivory-pools-website.html","/portfolio/case-studies/ivory-pools-website.html","Ivory Pool Services","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/ivory-pools.html","/portfolio/case-studies/ivory-pools.html","Ivory Pool Services","caseStudyOverview","B1","B1;B2;B4","Branding","false","Audited master-project mapping consolidates identity, website, and visual-content work."
"caseStudy:/portfolio/case-studies/life-os.html","/portfolio/case-studies/life-os.html","Life OS","caseStudyOverview","B3","B3","Branding","true","Audited master-project mapping identifies the digital product as B3, with AI and automation cross-cutting."
"caseStudy:/portfolio/case-studies/net-metering-systems-marketing.html","/portfolio/case-studies/net-metering-systems-marketing.html","Net Metering Systems","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/net-metering-systems-seo.html","/portfolio/case-studies/net-metering-systems-seo.html","Net Metering Systems","caseStudyDiscipline","M1","M1","Marketing","false","The -seo route deterministically maps search and visibility work to M1."
"caseStudy:/portfolio/case-studies/net-metering-systems-social.html","/portfolio/case-studies/net-metering-systems-social.html","Net Metering Systems","caseStudyDiscipline","M3","M3","Marketing","false","The -social route deterministically maps social-media work to M3."
"caseStudy:/portfolio/case-studies/net-metering-systems-strategy.html","/portfolio/case-studies/net-metering-systems-strategy.html","Net Metering Systems","caseStudyDiscipline","S3","S3;S2","Sales","true","Explicit strategy-page audit maps GHL automation to follow-up or nurture and CRM infrastructure, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/net-metering-systems-video.html","/portfolio/case-studies/net-metering-systems-video.html","Net Metering Systems","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/net-metering-systems-website.html","/portfolio/case-studies/net-metering-systems-website.html","Net Metering Systems","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/net-metering-systems.html","/portfolio/case-studies/net-metering-systems.html","Net Metering Systems","caseStudyOverview","B2","B2;B4;M1;M2;M3;S1;S2;S3;S4","Branding;Marketing;Sales","true","Audited master-project mapping captures the full connected growth system; AI and automation remain cross-cutting."
"caseStudy:/portfolio/case-studies/plan-grow-lead-branding.html","/portfolio/case-studies/plan-grow-lead-branding.html","Plan Grow Lead","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/plan-grow-lead.html","/portfolio/case-studies/plan-grow-lead.html","Plan Grow Lead","caseStudyOverview","B1","B1;B2","Branding","false","Audited master-project mapping consolidates identity and website work."
"caseStudy:/portfolio/case-studies/reservwise-app.html","/portfolio/case-studies/reservwise-app.html","ReservWise","caseStudyDiscipline","B3","B3","Branding","false","The -app route deterministically maps the digital-product detail to B3."
"caseStudy:/portfolio/case-studies/reservwise-branding.html","/portfolio/case-studies/reservwise-branding.html","ReservWise","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/reservwise-sales-infra.html","/portfolio/case-studies/reservwise-sales-infra.html","ReservWise","caseStudyDiscipline","S2","S2","Sales","false","The -sales-infra route deterministically maps CRM and sales infrastructure work to S2."
"caseStudy:/portfolio/case-studies/reservwise-strategy.html","/portfolio/case-studies/reservwise-strategy.html","ReservWise","caseStudyDiscipline","B3","B3;S2","Branding;Sales","true","Explicit strategy-page audit maps the automation work to the digital product and CRM infrastructure, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/reservwise-website.html","/portfolio/case-studies/reservwise-website.html","ReservWise","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/reservwise.html","/portfolio/case-studies/reservwise.html","ReservWise","caseStudyOverview","B1","B1;B2;B3;S2;S3","Branding;Sales","true","Audited master-project mapping spans identity, website, digital product, CRM, and nurture; AI is cross-cutting."
"caseStudy:/portfolio/case-studies/revelation-portal.html","/portfolio/case-studies/revelation-portal.html","Revelation Portal","caseStudyOverview","B3","B3;S2","Branding;Sales","true","Audited master-project mapping identifies the operations product and its CRM or sales-infrastructure role, with AI cross-cutting."
"caseStudy:/portfolio/case-studies/risen-sun-solar-roofing-branding.html","/portfolio/case-studies/risen-sun-solar-roofing-branding.html","Risen Sun Solar & Roofing","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/risen-sun-solar-roofing-strategy.html","/portfolio/case-studies/risen-sun-solar-roofing-strategy.html","Risen Sun Solar & Roofing","caseStudyDiscipline","S2","S2;S3","Sales","true","Explicit strategy-page audit maps automation to CRM infrastructure and follow-up or nurture, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/risen-sun-solar-roofing-website.html","/portfolio/case-studies/risen-sun-solar-roofing-website.html","Risen Sun Solar & Roofing","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/risen-sun-solar-roofing.html","/portfolio/case-studies/risen-sun-solar-roofing.html","Risen Sun Solar & Roofing","caseStudyOverview","B1","B1;B2;S1;S2;S3","Branding;Sales","true","Audited master-project mapping spans identity, website, lead generation, CRM, and nurture; AI is cross-cutting."
"caseStudy:/portfolio/case-studies/the-whole-vine-marketing.html","/portfolio/case-studies/the-whole-vine-marketing.html","The Whole Vine Festival","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/the-whole-vine-social.html","/portfolio/case-studies/the-whole-vine-social.html","The Whole Vine Festival","caseStudyDiscipline","M3","M3","Marketing","false","The -social route deterministically maps social-media work to M3."
"caseStudy:/portfolio/case-studies/the-whole-vine-video.html","/portfolio/case-studies/the-whole-vine-video.html","The Whole Vine Festival","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/the-whole-vine-website.html","/portfolio/case-studies/the-whole-vine-website.html","The Whole Vine Festival","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/the-whole-vine.html","/portfolio/case-studies/the-whole-vine.html","The Whole Vine Festival","caseStudyOverview","B2","B2;B4;M3;S1;S4","Branding;Marketing;Sales","false","Audited master-project mapping spans web, visual content, social, lead generation, and conversion advertising."
"caseStudy:/portfolio/case-studies/trust-energy-branding.html","/portfolio/case-studies/trust-energy-branding.html","Trust Energy","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/trust-energy-marketing.html","/portfolio/case-studies/trust-energy-marketing.html","Trust Energy","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/trust-energy-social.html","/portfolio/case-studies/trust-energy-social.html","Trust Energy","caseStudyDiscipline","M3","M3","Marketing","false","The -social route deterministically maps social-media work to M3."
"caseStudy:/portfolio/case-studies/trust-energy-video.html","/portfolio/case-studies/trust-energy-video.html","Trust Energy","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/trust-energy.html","/portfolio/case-studies/trust-energy.html","Trust Energy","caseStudyOverview","B1","B1;B3;B4;M2;M3;S1;S2;S3;S4","Branding;Marketing;Sales","true","Audited master-project mapping captures a connected brand, marketing, sales, and digital-product system; AI is cross-cutting."
"caseStudy:/portfolio/case-studies/wealth-coach-360-app.html","/portfolio/case-studies/wealth-coach-360-app.html","Wealth Coach 360","caseStudyDiscipline","B3","B3","Branding","false","The -app route deterministically maps the digital-product detail to B3."
"caseStudy:/portfolio/case-studies/wealth-coach-360-branding.html","/portfolio/case-studies/wealth-coach-360-branding.html","Wealth Coach 360","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/wealth-coach-360-strategy.html","/portfolio/case-studies/wealth-coach-360-strategy.html","Wealth Coach 360","caseStudyDiscipline","S3","S3;S2","Sales","true","Explicit strategy-page audit maps automation to follow-up or nurture and CRM infrastructure, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/wealth-coach-360-website.html","/portfolio/case-studies/wealth-coach-360-website.html","Wealth Coach 360","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/wealth-coach-360.html","/portfolio/case-studies/wealth-coach-360.html","Wealth Coach 360","caseStudyOverview","B1","B1;B2;B3;M4;S2;S3","Branding;Marketing;Sales","true","Audited master-project mapping spans identity, web, product, lifecycle marketing, CRM, and nurture; AI is cross-cutting."
"masterCard:/portfolio/case-studies/ams-energy-solutions.html","/portfolio/case-studies/ams-energy-solutions.html","AMS Energy Solutions","masterPortfolioCard","B1","B1;B2;B4","Branding","false","Master card inherits the audited project-wide identity, website, and visual-content mapping."
"masterCard:/portfolio/case-studies/bill-gerard-coaching.html","/portfolio/case-studies/bill-gerard-coaching.html","Bill Gerard Coaching","masterPortfolioCard","B1","B1;B2","Branding","false","Master card inherits the audited project-wide identity and website mapping."
"masterCard:/portfolio/case-studies/el-camino-del-mar.html","/portfolio/case-studies/el-camino-del-mar.html","El Camino Del Mar","masterPortfolioCard","B4","B4;S1;S2;S3;S4","Branding;Sales","true","Master card inherits the audited visual-content and connected sales-system mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/evergreen-island.html","/portfolio/case-studies/evergreen-island.html","Evergreen Island","masterPortfolioCard","B4","B4;S1;S2;S3;S4","Branding;Sales","true","Master card inherits the audited visual-content and connected sales-system mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/excel-sign-company.html","/portfolio/case-studies/excel-sign-company.html","Excel Sign Company","masterPortfolioCard","B2","B2","Branding","false","Master card inherits the audited B2 website-rebuild mapping."
"masterCard:/portfolio/case-studies/four-cs-construction.html","/portfolio/case-studies/four-cs-construction.html","4 C's Trucking & Excavation","masterPortfolioCard","B4","B4","Branding","false","Master card inherits the audited B4 visual-content mapping."
"masterCard:/portfolio/case-studies/fresno-financial-advisors.html","/portfolio/case-studies/fresno-financial-advisors.html","Fresno Financial Advisors","masterPortfolioCard","B4","B4;M2","Branding;Marketing","false","Master card inherits the audited visual-content and authority mapping."
"masterCard:/portfolio/case-studies/highlands-energy.html","/portfolio/case-studies/highlands-energy.html","Highlands Energy","masterPortfolioCard","B4","B4;M2;S1;S2;S4","Branding;Marketing;Sales","false","Master card inherits the audited visual authority, lead generation, CRM, and conversion-advertising mapping."
"masterCard:/portfolio/case-studies/hope-now-for-youth.html","/portfolio/case-studies/hope-now-for-youth.html","Hope Now for Youth","masterPortfolioCard","B4","B4;M2","Branding;Marketing","false","Master card inherits the audited visual-content and authority mapping."
"masterCard:/portfolio/case-studies/infinite-heating-cooling.html","/portfolio/case-studies/infinite-heating-cooling.html","Infinite Heating & Cooling","masterPortfolioCard","B1","B1;B2;S4","Branding;Sales","false","Master card inherits the audited identity, website, and conversion-advertising mapping."
"masterCard:/portfolio/case-studies/infinite-roofing-solutions.html","/portfolio/case-studies/infinite-roofing-solutions.html","Infinite Roofing Solutions","masterPortfolioCard","B1","B1;B2;B4;M2;S1;S2;S4","Branding;Marketing;Sales","false","Master card inherits the audited connected identity, web, authority, lead, CRM, and conversion mapping."
"masterCard:/portfolio/case-studies/ivory-pools.html","/portfolio/case-studies/ivory-pools.html","Ivory Pool Services","masterPortfolioCard","B1","B1;B2;B4","Branding","false","Master card inherits the audited identity, website, and visual-content mapping."
"masterCard:/portfolio/case-studies/life-os.html","/portfolio/case-studies/life-os.html","Life OS","masterPortfolioCard","B3","B3","Branding","true","Master card inherits the audited digital-product mapping, with AI and automation cross-cutting."
"masterCard:/portfolio/case-studies/net-metering-systems.html","/portfolio/case-studies/net-metering-systems.html","Net Metering Systems","masterPortfolioCard","B2","B2;B4;M1;M2;M3;S1;S2;S3;S4","Branding;Marketing;Sales","true","Master card inherits the audited full connected growth-system mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/plan-grow-lead.html","/portfolio/case-studies/plan-grow-lead.html","Plan Grow Lead","masterPortfolioCard","B1","B1;B2","Branding","false","Master card inherits the audited identity and website mapping."
"masterCard:/portfolio/case-studies/reservwise.html","/portfolio/case-studies/reservwise.html","ReservWise","masterPortfolioCard","B1","B1;B2;B3;S2;S3","Branding;Sales","true","Master card inherits the audited identity, web, product, CRM, and nurture mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/revelation-portal.html","/portfolio/case-studies/revelation-portal.html","Revelation Portal","masterPortfolioCard","B3","B3;S2","Branding;Sales","true","Master card inherits the audited digital-product and sales-infrastructure mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/risen-sun-solar-roofing.html","/portfolio/case-studies/risen-sun-solar-roofing.html","Risen Sun Solar & Roofing","masterPortfolioCard","B1","B1;B2;S1;S2;S3","Branding;Sales","true","Master card inherits the audited identity, web, lead, CRM, and nurture mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/the-whole-vine.html","/portfolio/case-studies/the-whole-vine.html","The Whole Vine Festival","masterPortfolioCard","B2","B2;B4;M3;S1;S4","Branding;Marketing;Sales","false","Master card inherits the audited web, visual, social, lead-generation, and conversion-advertising mapping."
"masterCard:/portfolio/case-studies/trust-energy.html","/portfolio/case-studies/trust-energy.html","Trust Energy","masterPortfolioCard","B1","B1;B3;B4;M2;M3;S1;S2;S3;S4","Branding;Marketing;Sales","true","Master card inherits the audited connected brand, marketing, sales, and product mapping; AI is cross-cutting."
"masterCard:/portfolio/case-studies/wealth-coach-360.html","/portfolio/case-studies/wealth-coach-360.html","Wealth Coach 360","masterPortfolioCard","B1","B1;B2;B3;M4;S2;S3","Branding;Marketing;Sales","true","Master card inherits the audited identity, web, product, lifecycle, CRM, and nurture mapping; AI is cross-cutting."
